ErrorEntrenamiento ErrorValidacion ErrorTest
26.77193 30.666667 32.390001
26.736844 31.333333 31.86
27.298245 31.333333 31.5
26.421052 32.666665 32.4
27.614036 30.000001 31.7
26.526317 34.0 31.999999
26.666668 32.666665 32.069999
27.052632 29.333332 32.049999
27.052632 34.0 32.269999
26.421052 32.666665 32.42
26.280701 33.333334 32.749999
26.31579 32.666665 32.440001
26.456141 34.666666 31.93
26.350877 30.666667 31.999999
26.877192 35.333332 32.280001
26.210526 32.666665 31.909999
26.456141 36.666667 32.519999
26.175439 32.666665 32.190001
26.31579 33.333334 32.519999
27.017543 35.333332 32.139999
26.14035 37.333333 32.300001
26.947367 34.0 33.109999
26.385966 30.666667 32.2
26.14035 33.333334 32.13
26.350877 34.666666 32.170001
26.245615 34.0 32.190001
26.631579 36.000001 32.319999
26.912281 36.000001 32.229999
27.508771 32.666665 33.51
26.561403 34.666666 32.76
26.631579 37.333333 33.17
26.736844 34.0 33.149999
26.070175 33.333334 32.969999
26.947367 30.666667 33.53
26.421052 32.666665 33.430001
26.982456 36.000001 32.960001
26.77193 36.000001 32.839999
26.526317 33.333334 32.570001
27.192983 35.333332 32.85
27.122808 33.333334 33.329999
26.77193 33.333334 33.320001
26.456141 32.666665 32.789999
25.964913 35.333332 33.12
26.842105 36.000001 32.83
26.385966 34.666666 33.140001
27.263159 34.666666 33.26
26.77193 33.333334 32.74
25.157896 33.333334 33.48
25.298247 31.333333 32.949999
26.701754 34.0 32.74
26.877192 30.000001 33.610001
26.175439 33.333334 32.65
26.210526 31.999999 32.780001
26.701754 31.999999 33.51
27.157894 34.666666 33.17
24.807018 31.999999 33.039999
25.929824 33.333334 33.149999
26.31579 34.666666 33.239999
25.754386 30.666667 33.019999
26.245615 36.000001 33.739999
26.14035 29.333332 33.26
26.561403 32.666665 33.3
26.14035 32.666665 33.450001
25.754386 36.000001 33.329999
26.350877 35.333332 32.74
25.614035 34.666666 32.81
26.105264 34.666666 32.879999
25.824562 36.000001 32.839999
25.052631 31.999999 32.910001
25.964913 34.666666 32.789999
24.45614 38.666666 32.800001
26.070175 31.333333 32.960001
25.649121 36.000001 33.109999
26.385966 33.333334 33.329999
25.894737 34.0 33.289999
26.31579 35.333332 33.700001
25.228071 32.666665 32.969999
25.824562 34.0 32.58
25.298247 35.333332 32.99
24.947369 34.0 32.820001
25.614035 31.999999 33.939999
25.228071 32.666665 33.140001
25.438598 32.666665 33.3
26.105264 34.666666 33.500001
25.438598 34.0 33.610001
24.877194 33.333334 33.320001
24.912281 34.0 33.039999
25.368422 31.999999 33.419999
25.649121 32.666665 34.07
25.754386 37.333333 33.419999
25.824562 34.0 33.770001
25.157896 36.666667 33.759999
25.719297 33.333334 33.469999
25.017545 31.333333 34.209999
25.999999 36.666667 33.08
25.017545 34.0 33.78
25.754386 36.000001 33.719999
24.385965 36.666667 33.109999
24.491228 36.000001 33.489999
24.842106 34.0 32.99
25.508773 36.000001 33.199999
24.736843 37.333333 33.69
25.157896 34.666666 33.320001
25.333333 35.333332 33.669999
24.105263 40.000001 33.51
24.736843 36.666667 33.230001
24.385965 35.333332 33.44
24.842106 36.000001 33.1
24.315789 40.666667 33.03
24.140351 33.333334 33.500001
25.017545 37.333333 33.230001
25.228071 38.666666 33.700001
24.421053 38.0 33.340001
24.140351 38.666666 33.219999
24.245614 36.666667 32.769999
24.245614 37.333333 32.710001
24.105263 35.333332 34.079999
24.105263 38.666666 34.110001
23.999999 34.0 33.849999
24.982457 40.000001 33.309999
24.807018 34.666666 33.680001
25.438598 32.666665 34.209999
24.701755 38.0 33.610001
23.333333 31.333333 33.51
23.473684 38.666666 33.680001
24.175438 34.0 33.96
24.807018 32.666665 34.18
24.842106 34.666666 34.060001
24.912281 36.666667 34.240001
24.666667 36.000001 33.489999
23.859648 34.0 34.439999
24.210526 33.333334 34.220001
24.175438 37.333333 34.020001
24.561404 36.000001 33.399999
23.578948 38.0 33.950001
24.210526 38.666666 34.079999
24.140351 38.0 33.880001
23.508772 38.666666 34.18
22.350878 38.0 33.289999
24.421053 36.000001 33.53
24.035087 37.333333 33.669999
24.245614 40.666667 33.450001
23.54386 36.000001 33.629999
24.245614 41.333333 34.150001
23.438597 37.333333 33.489999
23.964912 38.666666 33.91
